12:19:35:106 -> Direction:0
12:19:35:110 -> Servo_pos:1
12:19:35:110 -> Direction:0
12:19:35:110 -> Servo_pos:1
12:19:35:111 -> Direction:0
12:19:35:111 -> Servo_pos:1
12:19:35:114 -> Direction:0
12:19:35:114 -> Servo_pos:1
12:19:35:114 -> Direction:0
12:19:35:117 -> Servo_pos:1
12:19:35:117 -> Direction:0
12:19:35:119 -> Servo_pos:1
12:19:35:119 -> Direction:0
12:19:35:119 -> Servo_pos:1
12:19:35:121 -> Direction:0
12:19:35:121 -> Servo_pos:1
12:19:35:124 -> Direction:0
12:19:35:124 -> Servo_pos:1
12:19:35:124 -> Direction:0
12:19:35:127 -> Servo_pos:1
12:19:35:127 -> Direction:0
12:19:35:131 -> Servo_pos:1
12:19:35:131 -> Direction:0
12:19:35:131 -> Servo_pos:1
12:19:35:134 -> Direction:0
12:19:35:134 -> Servo_pos:1
12:19:35:197 -> Direction:0
12:19:35:197 -> Servo_pos:1
12:19:35:197 -> Direction:0
12:19:35:199 -> Servo_pos:1
12:19:35:201 -> Direction:0
12:19:35:201 -> Servo_pos:1
12:19:35:201 -> Direction:0
12:19:35:201 -> Servo_pos:1
12:19:35:204 -> Direction:0
12:19:35:206 -> Servo_pos:1
12:19:35:206 -> Direction:0
12:19:35:206 -> Servo_pos:1
12:19:35:209 -> Direction:0
12:19:35:209 -> Servo_pos:1
12:19:35:214 -> Direction:0
12:19:35:214 -> Servo_pos:1
12:19:35:214 -> Direction:0
12:19:35:216 -> Servo_pos:1
12:19:35:216 -> Direction:0
12:19:35:219 -> Servo_pos:1
12:19:35:219 -> Direction:0
12:19:35:219 -> Servo_pos:1
12:19:35:222 -> Direction:0
12:19:35:222 -> Servo_pos:1
12:19:35:234 -> Direction:0
12:19:35:234 -> Servo_pos:1
12:19:35:234 -> Direction:0
12:19:35:237 -> Servo_pos:1
12:19:35:237 -> Direction:0
12:19:35:237 -> Servo_pos:1
12:19:35:237 -> Direction:0
12:19:35:237 -> Servo_pos:1
12:19:35:237 -> Direction:0
12:19:35:237 -> Servo_pos:1
12:19:35:329 -> Direction:0
12:19:35:329 -> Servo_pos:1
12:19:35:329 -> Direction:0
12:19:35:332 -> Servo_pos:1
12:19:35:332 -> Direction:0
12:19:35:334 -> Servo_pos:1
12:19:35:334 -> Direction:0
12:19:35:334 -> Servo_pos:1
12:19:35:336 -> Direction:0
12:19:35:336 -> Servo_pos:1
12:19:35:341 -> Direction:0
12:19:35:341 -> Servo_pos:1
12:19:35:341 -> Direction:0
12:19:35:342 -> Servo_pos:1
12:19:35:342 -> Direction:0
12:19:35:344 -> Servo_pos:1
12:19:35:344 -> Direction:0
12:19:35:344 -> Servo_pos:1
12:19:35:346 -> Direction:0
12:19:35:346 -> Servo_pos:1
12:19:35:349 -> Direction:0
12:19:35:349 -> Servo_pos:1
12:19:35:349 -> Direction:0
12:19:35:352 -> Servo_pos:1
12:19:35:352 -> Direction:0
12:19:35:413 -> Servo_pos:1
12:19:35:413 -> Direction:0
12:19:35:413 -> Servo_pos:1
12:19:35:415 -> Direction:0
12:19:35:415 -> Servo_pos:1
12:19:35:418 -> Direction:0
12:19:35:418 -> Servo_pos:1
12:19:35:418 -> Direction:0
12:19:35:420 -> Servo_pos:1
12:19:35:423 -> Direction:0
12:19:35:423 -> Servo_pos:1
12:19:35:423 -> Direction:0
12:19:35:430 -> Servo_pos:1
12:19:35:430 -> Direction:0
12:19:35:431 -> Servo_pos:1
12:19:35:431 -> Direction:0
12:19:35:431 -> Servo_pos:1
12:19:35:431 -> Direction:0
12:19:35:433 -> Servo_pos:1
12:19:35:435 -> Direction:0
12:19:35:435 -> Servo_pos:1
12:19:35:435 -> Direction:0
12:19:35:438 -> Servo_pos:1
12:19:35:438 -> Direction:0
12:19:35:440 -> Servo_pos:1
12:19:35:440 -> Direction:0
12:19:35:440 -> Servo_pos:1
12:19:35:443 -> Direction:0
12:19:35:443 -> Servo_pos:1
12:19:35:445 -> Direction:0
12:19:35:445 -> Servo_pos:1
12:19:35:445 -> Direction:0
12:19:35:448 -> Servo_pos:1
12:19:35:448 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:536 -> Servo_pos:1
12:19:35:536 -> Direction:0
12:19:35:539 -> Servo_pos:1
12:19:35:539 -> Direction:0
12:19:35:544 -> Servo_pos:1
12:19:35:544 -> Direction:0
12:19:35:544 -> Servo_pos:1
12:19:35:546 -> Direction:0
12:19:35:546 -> Servo_pos:1
12:19:35:619 -> Direction:0
12:19:35:619 -> Servo_pos:1
12:19:35:619 -> Direction:0
12:19:35:622 -> Servo_pos:1
irection:0
12:19:35:634 -> Servo_pos:1
12:19:35:636 -> Direction:0
12:19:35:636 -> Servo_pos:1
12:19:35:636 -> Direction:0
12:19:35:636 -> Servo_pos:1
12:19:35:636 -> Direction:12:19:35:624 -> Direction:0
12:19:35:624 -> Servo_pos:1
12:19:35:624 -> Direction:0:1
12:19:35:644 -> Direction:0
12:19:35:644 -> Servo_pos:1
12:19:35:646 -> Direction:0
12:19:35:646 -> Servo_pos:1
12:19:35:646 -> Direction:0
12:19:35:649 -> Servo_pos:1
12:19:35:649 -> Direction:0
12:19:35:651 -> Servo_pos:1
12:19:35:651 -> Direction:0
12:19:35:651 -> Servo_po
12:19:35:626 -> Servo_pos:1
12:19:35:626 -> Direction:0
12:19:35:631 -> Servo_pos:1
12:19:35:631 -> Direction:0
12:19:35:631 -> Servo_pos:1
12:19:35:631 -> D0
12:19:35:639 -> Servo_pos:1
12:19:35:639 -> Direction:0
